category,index,text
overall,0,오늘은 에너지가 넘치는 하루입니다. 새로운 도전에 적극적으로 나서보세요.
overall,1,차분하게 계획을 세우면 좋은 결과를 얻을 수 있습니다. 서두르지 마세요.
overall,2,주변 사람들과의 소통이 중요한 날입니다. 마음을 열고 대화하세요.
overall,3,예상치 못한 행운이 찾아올 수 있습니다. 기회를 놓치지 마세요.
overall,4,자신을 돌보는 시간이 필요합니다. 무리하지 말고 휴식을 취하세요.
overall,5,창의적인 아이디어가 떠오르는 날입니다. 메모해두세요.
overall,6,오래된 문제가 해결의 실마리를 찾을 수 있습니다. 긍정적으로 바라보세요.
overall,7,재정적으로 신중해야 하는 날입니다. 충동적인 소비를 자제하세요.
overall,8,새로운 인연이 찾아올 수 있습니다. 열린 마음으로 맞이하세요.
overall,9,끈기와 인내가 보상받는 날입니다. 포기하지 마세요.
overall,10,직감이 예리해지는 날입니다. 느낌을 믿어보세요.
overall,11,과거의 노력이 결실을 맺는 시기입니다. 자신을 칭찬해주세요.
love,0,연인과의 깊은 대화가 관계를 더 단단하게 만듭니다.
love,1,새로운 만남에 설렘이 가득한 날입니다.
love,2,상대방의 입장에서 생각해보세요. 이해의 폭이 넓어집니다.
love,3,사소한 다툼이 있을 수 있지만 금방 해결됩니다.
love,4,혼자만의 시간도 소중합니다. 자기 사랑을 실천하세요.
love,5,로맨틱한 분위기가 감도는 날입니다. 감정을 솔직하게 표현해보세요.
love,6,오래된 인연에서 새로운 감정을 발견할 수 있습니다.
love,7,관계에서 균형을 찾는 것이 중요한 날입니다.
love,8,용기를 내서 먼저 다가가보세요. 좋은 반응이 돌아올 거예요.
love,9,감사의 마음을 전하면 관계가 더 깊어집니다.
love,10,진심을 담은 작은 행동이 큰 감동을 줄 수 있는 날입니다.
love,11,과거의 오해가 풀리고 관계가 회복되는 기운이 있습니다.
career,0,업무에서 돋보이는 성과를 낼 수 있는 날입니다.
career,1,동료와의 협업이 시너지를 만듭니다. 혼자 하지 마세요.
career,2,새로운 프로젝트를 시작하기 좋은 타이밍입니다.
career,3,꼼꼼함이 빛을 발하는 날입니다. 디테일에 신경 쓰세요.
career,4,리더십을 발휘할 기회가 찾아옵니다.
career,5,학습과 자기계발에 투자하면 큰 보상이 돌아옵니다.
career,6,중요한 결정은 오후로 미루는 것이 좋겠습니다.
career,7,네트워킹에 적극적으로 나서보세요. 좋은 기회가 올 수 있습니다.
career,8,루틴을 점검하고 효율을 높여보세요.
career,9,자신의 가치를 당당하게 어필할 때입니다.
career,10,예상 밖의 방향에서 좋은 소식이 올 수 있습니다. 유연하게 대처하세요.
career,11,오늘 심은 씨앗이 나중에 큰 결실로 돌아옵니다. 기초를 단단히 하세요.
luckyColor,0,빨강
luckyColor,1,파랑
luckyColor,2,초록
luckyColor,3,노랑
luckyColor,4,보라
luckyColor,5,분홍
luckyColor,6,하늘색
luckyColor,7,금색
luckyColor,8,은색
luckyColor,9,주황
luckyColor,10,남색
luckyColor,11,연두
