rank,variant,wish,relationship,travel,health,general
大吉,0,소원이 반드시 이루어집니다.,최고의 인연이 찾아옵니다.,어디를 가든 행운이 따릅니다.,활력이 넘칩니다.,모든 일이 순조롭게 풀리는 최상의 운세입니다. 자신감을 가지고 나아가세요!
大吉,1,오래 품어온 꿈이 현실이 됩니다.,운명적인 만남이 기다립니다.,여행지에서 특별한 행운을 만납니다.,건강이 크게 좋아집니다.,하늘이 돕는 시기입니다. 큰 결심을 해도 좋습니다!
大吉,2,바라던 것 이상의 결과를 얻습니다.,소중한 사람과 더 깊어집니다.,뜻밖의 좋은 소식이 먼 곳에서 옵니다.,몸과 마음 모두 최상입니다.,인생의 전환점이 될 수 있는 대길의 운세입니다!
吉,0,노력하면 소원이 이루어집니다.,좋은 인연이 가까이 있습니다.,가까운 여행이 기분 전환이 됩니다.,건강에 큰 문제 없습니다.,좋은 운세입니다. 꾸준히 노력하면 원하는 것을 얻을 수 있습니다.
吉,1,시간이 걸리지만 결국 이루어집니다.,기존 관계가 더 좋아집니다.,동쪽 방향이 길합니다.,규칙적인 생활이 건강을 지켜줍니다.,안정적이고 좋은 흐름입니다. 현재의 방향을 유지하세요.
吉,2,작은 것부터 이루어지기 시작합니다.,진심이 통하는 날입니다.,새로운 장소에서 영감을 얻습니다.,적당한 운동이 활력을 줍니다.,전반적으로 좋은 운세입니다. 긍정적인 마음을 유지하세요.
吉,3,포기하지 않으면 반드시 이룹니다.,우정이 더욱 깊어집니다.,계획된 여행은 순조롭습니다.,충분한 수면이 중요합니다.,순탄한 하루가 될 것입니다. 감사하는 마음을 가지세요.
中吉,0,절반 정도 이루어질 수 있습니다. 더 노력하세요.,오해가 풀리고 관계가 나아집니다.,짧은 외출이 좋습니다.,무리하지 않으면 괜찮습니다.,나쁘지 않은 운세입니다. 욕심을 줄이면 더 좋은 결과를 얻습니다.
中吉,1,방법을 바꾸면 이룰 수 있습니다.,솔직한 대화가 도움이 됩니다.,가까운 곳이 더 좋습니다.,스트레스 관리에 신경 쓰세요.,조금씩 나아지고 있습니다. 인내심을 가지세요.
中吉,2,타인의 도움을 받아들이면 길이 열립니다.,작은 선물이 관계를 밝게 합니다.,예정된 일정은 무난합니다.,규칙적인 식사가 중요합니다.,과하지도 부족하지도 않은 운세입니다. 균형을 잘 잡으면 좋은 하루가 됩니다.
小吉,0,작은 소원부터 이루어보세요.,새로운 만남보다 기존 관계에 집중하세요.,무리한 여행은 피하세요.,식습관을 점검해보세요.,작은 행운이 깃든 날입니다. 소소한 것에서 기쁨을 찾으세요.
小吉,1,시간이 필요합니다. 서두르지 마세요.,상대방을 배려하면 좋아집니다.,익숙한 곳이 편안합니다.,가벼운 산책이 좋습니다.,평범하지만 안정적인 하루입니다. 감사할 줄 아는 마음이 행운을 부릅니다.
小吉,2,눈앞의 것보다 마음속 소원을 다시 떠올려보세요.,말보다 행동으로 마음을 전해보세요.,날씨 좋은 날 가볍게 나서보세요.,물을 충분히 마시세요.,소소하지만 확실한 행복이 있는 날입니다. 작은 것에 집중하세요.
末吉,0,지금은 아니지만 나중에 이루어집니다.,거리를 두는 것이 오히려 좋습니다.,여행은 다음 기회에.,무리하면 안 됩니다.,끝에 가서 길이 열리는 운세입니다. 지금은 준비의 시간입니다.
末吉,1,기대를 낮추면 오히려 좋은 일이 생깁니다.,혼자만의 시간이 필요합니다.,집에서 쉬는 것을 추천합니다.,충분한 휴식을 취하세요.,조급해하지 마세요. 때가 오면 자연스럽게 풀립니다.
末吉,2,돌아가는 길이 오히려 빠른 길입니다.,오래된 친구에게 연락해보세요.,계획보다 여유롭게 움직이세요.,마음의 안정이 몸의 건강으로 이어집니다.,말(末)은 끝이 아니라 마무리입니다. 정리하고 나면 새 길이 보입니다.
凶,0,지금은 때가 아닙니다. 기다리세요.,오해와 다툼에 주의하세요.,불필요한 외출을 삼가세요.,건강 관리에 각별히 신경 쓰세요.,주의가 필요한 날입니다. 중요한 결정은 미루고 조심스럽게 행동하세요.
凶,1,무리한 욕심은 화를 부릅니다.,말실수에 조심하세요.,서쪽 방향은 피하세요.,과로를 조심하세요.,어려운 시기이지만 지나갈 것입니다. 겸손한 자세가 화를 면합니다.
凶,2,계획을 재점검할 시기입니다.,신뢰를 잃지 않도록 주의하세요.,안전에 유의하세요.,정기 검진을 받아보세요.,시련이 있지만 성장의 기회이기도 합니다. 포기하지 마세요.
大凶,0,모든 것을 멈추고 재충전하세요.,갈등이 심해질 수 있습니다. 한 발 물러서세요.,여행을 삼가세요.,건강에 적신호가 올 수 있습니다. 관리하세요.,가장 어두운 밤이 지나면 새벽이 옵니다. 지금은 견디는 것이 최선입니다. 하지만 이 운세를 뽑았다는 것은 최악을 지나 다시 올라가기 시작한다는 의미이기도 합니다.
大凶,1,소원을 비우고 마음을 다스리세요.,혼자만의 시간이 절실합니다.,집 안에 머무르세요.,몸이 보내는 신호를 무시하지 마세요.,일본에서는 대흉을 뽑으면 오히려 운이 바뀐다고 합니다. 나무에 묶고 떠나보세요. 새로운 시작이 기다립니다.
大凶,2,지금의 소원은 내려놓고 진짜 원하는 것을 다시 물어보세요.,무리하게 관계를 유지하려 하지 마세요.,움직이지 않는 것이 최선입니다.,하던 것을 멈추고 쉬세요. 그것이 치료입니다.,바닥을 찍어야 올라갈 수 있습니다. 대흉은 반전의 시작 — 이보다 나빠질 일은 없으니까요.
