id,name,nameKo,emoji,upright,reversed,keyword1,keyword2,keyword3
0,The Fool,광대,🤡,새로운 시작이 다가오고 있습니다. 두려움 없이 첫 발을 내딛으세요. 순수한 마음으로 모험을 시작할 때입니다.,무모한 행동을 경계하세요. 준비 없이 뛰어드는 것은 위험합니다. 한 번 더 생각해보세요.,새로운 시작,모험,순수
1,The Magician,마법사,✨,당신에게 필요한 모든 도구가 갖춰져 있습니다. 의지와 집중력으로 원하는 것을 현실로 만드세요.,능력을 낭비하고 있지는 않나요? 집중력이 흩어져 있습니다. 방향을 재정립하세요.,창조,의지,집중
2,The High Priestess,여사제,🌙,직감을 믿으세요. 표면 아래 숨겨진 진실이 있습니다. 조용히 내면의 목소리에 귀 기울이세요.,직감을 무시하고 있습니다. 내면의 소리를 차단하지 마세요. 비밀이 드러날 수 있습니다.,직감,신비,내면
3,The Empress,여황제,👑,풍요와 창조의 에너지가 가득합니다. 사랑과 아름다움이 당신을 감싸고 있습니다.,자신을 돌보는 것을 소홀히 하고 있습니다. 과도한 의존이나 집착을 경계하세요.,풍요,모성,자연
4,The Emperor,황제,🏛️,안정과 질서의 시기입니다. 리더십을 발휘하고 체계적으로 목표를 향해 나아가세요.,지나친 통제욕을 내려놓으세요. 유연함이 필요한 시기입니다.,권위,안정,질서
5,The Hierophant,교황,📿,전통과 가르침에서 지혜를 찾으세요. 멘토나 스승의 조언이 도움이 될 것입니다.,관습에 얽매이지 마세요. 자신만의 길을 찾을 때입니다.,전통,가르침,신앙
6,The Lovers,연인,💕,중요한 선택의 순간입니다. 마음이 이끄는 대로 따르세요. 진정한 결합과 조화가 찾아옵니다.,관계에서 불균형이 느껴집니다. 가치관의 충돌을 직면해야 합니다.,사랑,선택,조화
7,The Chariot,전차,⚡,강한 의지로 승리를 쟁취할 수 있습니다. 장애물을 극복하고 전진하세요.,방향을 잃고 표류하고 있습니다. 통제력을 되찾아야 합니다.,승리,의지,전진
8,Strength,힘,🦁,부드러운 힘이 진정한 강함입니다. 인내와 용기로 어려움을 극복하세요.,자신감이 부족합니다. 내면의 힘을 믿으세요. 포기하지 마세요.,용기,인내,내면의 힘
9,The Hermit,은둔자,🏔️,홀로 있는 시간이 필요합니다. 내면을 들여다보고 진정한 답을 찾으세요.,고립에서 벗어나세요. 지나친 은둔은 외로움을 낳습니다.,성찰,고독,지혜
10,Wheel of Fortune,운명의 수레바퀴,🎡,운명의 전환점입니다. 행운이 찾아오고 있습니다. 변화의 흐름을 타세요.,불운이 지나가는 시기입니다. 인내하면 곧 나아질 것입니다.,운명,변화,순환
11,Justice,정의,⚖️,공정한 결과가 찾아옵니다. 진실과 정의가 승리합니다. 균형을 유지하세요.,불공정함을 느끼고 있나요? 편견을 버리고 객관적으로 바라보세요.,공정,균형,진실
12,The Hanged Man,매달린 사람,🙃,멈춤이 필요한 때입니다. 다른 관점에서 바라보면 새로운 길이 보입니다.,불필요한 희생을 멈추세요. 놓아줄 것을 놓아주세요.,희생,새로운 관점,멈춤
13,Death,죽음,💀,끝은 새로운 시작입니다. 낡은 것을 보내야 새것이 들어옵니다. 변화를 받아들이세요.,변화를 두려워하고 있습니다. 과거에 집착하지 마세요.,변화,끝과 시작,탈바꿈
14,Temperance,절제,🏺,균형과 조화의 시기입니다. 극단을 피하고 중용의 길을 걸으세요. 인내가 보상을 가져옵니다.,균형이 무너졌습니다. 과도함을 줄이고 조화를 되찾으세요.,균형,조화,인내
15,The Devil,악마,😈,유혹과 집착에 주의하세요. 스스로를 가두는 사슬은 당신이 풀 수 있습니다.,속박에서 벗어나고 있습니다. 자유를 향한 첫 걸음을 내딛었습니다.,유혹,집착,해방
16,The Tower,탑,🗼,갑작스러운 변화가 찾아옵니다. 고통스럽지만 무너져야 다시 세울 수 있습니다.,파괴를 피하고 있지만 변화는 불가피합니다. 서서히 준비하세요.,파괴,각성,급변
17,The Star,별,⭐,희망의 빛이 보입니다. 어둠이 지나고 밝은 미래가 기다립니다. 꿈을 포기하지 마세요.,희망을 잃고 있나요? 작은 빛이라도 찾으세요. 아직 끝이 아닙니다.,희망,영감,치유
18,The Moon,달,🌑,불안과 혼란의 시기입니다. 환상과 현실을 구분하세요. 직감을 따르되 조심스럽게.,두려움이 걷히고 있습니다. 진실이 서서히 드러나고 있습니다.,환상,불안,무의식
19,The Sun,태양,☀️,성공과 기쁨의 시기입니다! 밝은 에너지가 당신을 감싸고 있습니다. 자신감을 가지세요.,기쁨이 잠시 가려져 있습니다. 하지만 구름 뒤에 태양은 항상 있습니다.,성공,기쁨,활력
20,Judgement,심판,📯,각성의 시간입니다. 과거를 돌아보고 새로운 결심을 하세요. 부름에 응답할 때입니다.,자기 반성을 피하고 있습니다. 과거의 실수에서 배우지 않으면 반복됩니다.,각성,부활,결단
21,The World,세계,🌍,완성과 성취의 카드입니다. 하나의 순환이 끝나고 새로운 장이 열립니다. 축하합니다!,완성이 지연되고 있습니다. 마지막 한 걸음이 남았습니다. 포기하지 마세요.,완성,성취,통합
